input:,標籤,output:
如何取得學號？,新生,在[學號查詢系統](https://alcat.pu.edu.tw/stdnoquery/index.php)輸入身分證字號，即可取得學號。
校園帳號是什麼？,新生,可使用此帳號登入學校的各項資訊服務，包括靜宜電子郵件、e 校園服務網、軟體雲、玩課雲(Wow Class)、教學輔助活動管理系統及無線網路等。
如何啟用校園帳號？,新生,"可在取得學號後，於靜宜大學資訊處的[新生專區](https://oits.pu.edu.tw/p/426-1002-3.php?Lang=zh-tw) ，點選「帳號啟用」，依頁面指示輸入個人基本資料及設定密碼，即可完成帳號啟用。
"
忘記校園帳號密碼改怎麼辦？,E校園服務網,可於[忘記密碼申請](https://webmail.pu.edu.tw/passwordForgotForm.do)，依頁面指示輸入個人基本資料及驗證身分，即可重設密碼。
在學期間更改姓名如何辦理？,綜合業務組,"辦理更名時，請攜帶填寫好的申請單（可在綜合業務組下載【在校生更改姓名身分證字號申請單】）、更正後的戶籍謄本正本一份（若變更身分證字號則免附），以及身分證以便核對（現場歸還）。更名後，學生證需自費辦理換發。
"
學生基本資料確認步驟？,E校園服務網,"至 e 校園服務網登入校園帳號密碼，點選「各類系統功能 -> 教務 -> 學生基本資料確認」，完成下方各項目的填寫及上傳。

* 基本資料：姓名、身分證字號、出生日期、性別、戶籍地址、通訊地址、聯絡電話、電子郵件信箱等，郵局帳號請填寫學生本人之帳戶資料。 
* 緊急聯絡人資料：姓名、身分證字號、聯絡電話、與學生關係等。
* 校園生活資料：學務相關資料
* 個人資料使用同意書：個人資料使用同意書、健康檢查作業委託「承檢醫院」個資使用同意書、協助學生就醫相關事宜告知書等。 
* 大頭照上傳：請以「身分證用大頭照」之規格上傳。
* 文件上傳：學歷證件(高中畢業證書、高中肄業證明書(未畢業者)，請以掃描或手機拍照方式存成 JPG 檔後上傳。)、身分證正反面、個人資料使用同意書。
"
通訊地址欄位有什麼需要注意的？,綜合業務組,"通訊地址欄位為學生學習權益通知的寄送地，一經確認即無法於線上更改。如需變更，請至綜合業務組網頁「表單下載」，列印【0501-在校生更改地址申請單】送交綜合業務組提出申請。
"
學生證相片電子檔有什麼規格要求？,E校園服務網,"學生證相片電子檔請以「身分證用大頭照」之規格上傳，即照相館所附光碟之 JPG 檔上傳，勿做任何縮放或修圖，切勿使用生活照。經檢核不符合規格者，將以簡訊通知修訂，敬請配合作業，以免耽誤學生證製作期限。
"
學生證用途有哪些？,新生,"學生證為一卡通學生證，於四大超商儲值後，可於「文興樓一樓」、「至善樓東門」全功能成績列印自動化繳費機及「主顧樓」教務文件自助列印 POS 系統設備，列印在學證明、成績單等文件，並可以進行其他體育設施等小額款項繳費。
"
本國籍大學部學生學雜費繳費單上列的金額是否已經扣除「行政院減免學雜費」？,新生,"是的，已經扣除「行政院減免學雜費」1.75 萬元整。
"
如果要申請「全額學雜費繳費單」，應該怎麼辦？,新生,"依本校學務處生活輔導組公告程序辦理後，方得變更繳費單。
"
可以在哪裡取得學雜費繳費單？,新生,"您可以透過以下方式取得學雜費繳費單：
* 第一銀行網站 -> 第 e 學雜費入口網 -> 選擇靜宜大學 -> 輸入學號。
* 利用手機或平板電腦繳費 -> 請安裝[靜宜大學]APP -> 點選 [MyPU] -> 登入後點選[教職員/學生專區 -> 學雜費繳費單]。 
* 靜宜大學首頁 -> 學雜費專區 -> 學雜費查詢及繳費單列印。
"
新生什麼時候會收到學雜費繳費單？,新生,"由第一銀行寄出繳費單，「運動績優、身心障礙、四技二專、分發入學、原住民專班、社工系二年制在職專班」入學新生如申請並錄取校內住宿者，請至本校首頁學雜費專區下載繳費單辦理繳費。如申請學校宿舍備取經錄取後，請至本校首頁學雜費專區重新下載繳費單辦理繳費。提醒您，為響應環保減少紙張印製，113 學年度第 2 學期不再郵寄紙本繳費單。
"
學雜費繳款方式有哪些？,新生,臨櫃繳交、金融卡轉帳、信用卡繳費、超商繳費。
學雜費臨櫃繳款如何操作？,新生,請持繳費單至第一銀行分行臨櫃繳費，無手續費，隔天入帳。
學雜費金融卡轉帳如何操作？,新生,"1. 選擇【繳費】，勿選轉帳。 
2. 輸入第一銀行代號【007】 
3. 輸入【存戶編號(轉入帳號)】 
4. 輸入【繳款金額】 

* 學雜費、課外活動費繳款單【存戶編號(轉入帳號)】代號不同，不可合併匯款 
* 非跨行無手續費，跨行手續費 16 元，隔天入帳。"
學雜費信用卡繳費如何操作？,新生,"1. 第一銀行第 e 學雜費入口網：輸入【學號】及 6 碼【驗證碼】(驗證碼：生日西元年末 2 碼+月 2 碼+日 2 碼) 
2. 中國信託銀行 i 繳費平台：點選【學費/信用卡繳學費】，輸入學校代號【8814600440】並輸入繳費單上之【存戶編號（轉入帳號）】 依各發卡銀行規定，3 個工作日入帳。"
學雜費超商繳費如何操作？,新生,請持繳費單或下載靜宜大學 APP 持手機條碼，至統一、全家、萊爾富、OK 超商門市繳款 2 萬以下：10 元 逾 2 萬至 4 萬：15 元 逾 4 萬至 6 萬：18 元 逾 6 萬：不代收 7 個工作日入帳。
如何查詢繳費狀況？,新生,"靜宜大學首頁 -> 學雜費專區 -> 學雜費繳費證明列印。
"
學雜費之退費標準為何？,新生,"依教育部專科以上學校學雜費退費基準表規定辦理。

* 113 年 09 月 08 日前辦竣休、退學者，免交學雜費
* 113 年 10 月 21 日前辦竣休、退學者，退還學雜各費三分之二。
* 113 年 12 月 02 日前辦竣休、退學者，退還學雜各費三分之一。
* 113 年 12 月 03 日起辦理休退學者，不予退費。
"
申請保留學籍，請問有哪些申請資格？,新生,"1. 因重病需長期療養，持有區域醫院或醫學中心開具之診斷證明書。 
2. 陸生、僑生或外國學生因故不能按時來校報到者。 
3. 因應徵召服兵役者，應檢具服役證明文件，申請延長保留學籍至服義務役期滿。 
4. 因懷孕、生產或撫育三歲以下子女，得於註冊開始前，持證明文件向學校申請保留入學資格。 
5. 參加「青年教育與就業儲蓄帳戶方案」之高級中等學校畢業生考取本校後入學者。
"
申請保留學籍，請問申請時間和申辦資料是什麼？,新生,"親自至綜合業務組辦理，逾期不予受理。 申辦資料： 

1. 保留學籍申請暨程序單(現場填寫)。 
2. 畢業證書或同等學力證明書及身分證影本 1 份。 
3. 區域醫院或醫學中心開具之診斷證明書正本(請註明需六週以上長期療養)。 
4. 一個掛號回郵信封(貼足 28 元郵資)。
"
我要申請休學，請問有哪些注意事項？,新生,"在開學前完成辦理的學生，將免繳學雜費。開學後則依規定收費。至於學生團體保險（學生平安保險），為了保障學生權益，建議即使在休學期間仍繼續繳交保險費，否則可能放棄保險理賠的權益。休學學生若希望參加學生團體保險，需在每學期開學後3週內至本校出納組繳交保險費，逾期將不予受理。
"
大一英文分級測驗是什麼？,新生,大一英文分級測驗是靜宜大學針對大一新生施行的線上測驗，用以評估學生的英語能力，並將學生分為不同程度的班級上課。
大一英文分級測驗的測驗方式是什麼？,新生,大一英文分級測驗為線上測驗，共分聽力和閱讀兩部分，各佔 50%。
我沒有參加大一英文分級測驗怎麼辦？,新生,沒有參加大一英文分級測驗的學生，將無法分班上課，需於開學後向外語教學中心申請補考。
